participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
20,0,82,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1179
20,0,83,cue,12,6,6,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,83,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,887
20,0,84,cue,8,4,4,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,84,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1935
20,0,85,cue,10,4,6,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,85,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,2385
20,0,86,cue,6,4,2,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,86,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1288
20,0,87,cue,10,4,6,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,87,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1914
20,0,88,cue,10,6,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,88,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1469
20,0,89,cue,8,4,4,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,89,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,2211
20,0,90,cue,12,6,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,90,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,2274
20,0,91,cue,4,2,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,91,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1226
20,0,92,cue,6,4,2,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,92,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1797
20,0,93,cue,6,2,4,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,93,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1676
20,0,94,cue,12,6,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,94,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1139
20,0,95,cue,10,4,6,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,95,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1327
20,0,96,cue,10,6,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,96,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1788
20,0,97,cue,12,6,6,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,97,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,2737
20,0,98,cue,6,2,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,98,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1178
20,0,99,cue,4,2,2,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,99,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1276
